PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kanagaraj, S; Selvaraj, M; Das Kangabam, R; Munisamy, G				Kanagaraj, Suganthi; Selvaraj, Muthu; Das Kangabam, Rajiv; Munisamy, Govindaraju			Assessment of tree species diversity and its distribution pattern in Pachamalai Reserve Forest, Tamil Nadu	JOURNAL OF SUSTAINABLE FORESTRY												An increased understanding of the importance of forest diversity for ecosystem services such as medicine, wood, climate control, etc., has lead to greater interest in the study of forests. This study aims to analyze the diversity, composition, and distribution pattern of tree species in Pachamalai Reserve Forest in the Eastern Ghats of Tamil Nadu State. Data were collected in the quadrant method, where 10 x 10 m(2) plots at different altitudes from 230 to 930 m with 50m regular intervals were plotted. A total of 73 tree species belonging to 35 families with the density of 1,372 individuals were enumerated from 3 ha. Overall, the most dominant tree species family was Fabaceae (21 species). The highest number in terms of density of tree species was observed for Pongamia pinnata and the most dominant on the basis of basal area was Tamarindus indica. The species inventory was calculated by Shannon-Weiner index (3.916), Simpson index (0.0206), and Margalef index (9.9667). With the increasing altitudinal gradient, the maximum species richness was observed in the middle elevation zone from 580 to 780 m. The results from the study could be helpful for monitoring and sustaining the forest resources, and important in preventing the loss of biodiversity and mitigating climate change.					Kangabam, Rajiv/M-2649-2017														1054-9811	1540-756X					2017	36	1					32	46		10.1080/10549811.2016.1238768	http://dx.doi.org/10.1080/10549811.2016.1238768													WOS:000396617800003
J	Tatli, H; Dalfes, HN				Tatli, Hasan; Dalfes, H. Nuzhet			Analysis of temporal diversity of precipitation along with biodiversity of Holdridge life zones	THEORETICAL AND APPLIED CLIMATOLOGY												Many ecological studies show that diversity of vegetation is generally sensitive to hydrometeorological variables such as temperature, precipitation, and evaporation. Furthermore, it is also known that there have been changes in the precipitation regimes due to climate change and/or land use (such as urbanization). This study investigates the temporal diversity of the precipitation along with the Holdridge life zones (HLZ) using the biodiversity indices of true Hill numbers and Renyi entropy. The results show that there are no statistically significant changes in the "biodiversity" with respect to the HLZ. However, it was found that, although the biodiversity has remained more or less stable through 45 years, the HLZ classes have widened toward much warmer and drier vegetation cover. One can propose that the water regime of the rivers of the country has also changed due to the early melting of snow and an increase in evapotranspiration as a result of warming. Furthermore, using the Gini-Simpson diversity index for daily rainfall types recorded in a spatially homogeneous manner over Turkey, one can show that there are no significant changes in rainfall diversity in the coastal regions, but significant changes are observed in the internal and relatively high-altitude areas of the country.					Dalfes, Nüzhet/N-9321-2013; TATLI, Hasan/G-2167-2017	TATLI, Hasan/0000-0002-1960-0618													0177-798X	1434-4483				2021 APR	2021	144	1-2					391	400		10.1007/s00704-021-03551-x	http://dx.doi.org/10.1007/s00704-021-03551-x		FEB 2021											WOS:000616461500001
J	Rzad, I; Stapf, A; Kornas, SA; Dzika, E; Salamatin, R; Kaczmarek, A; Kowal, J; Wajdzik, M; Zalewski, K				Rzad, Izabella; Stapf, Agata; Kornas, Slawomir Adam; Dzika, Ewa; Salamatin, Ruslan; Kaczmarek, Adam; Kowal, Jerzy; Wajdzik, Marek; Zalewski, Kazimierz			Intestinal Helminth Communities of Grey Partridge <i>Perdix perdix</i> and Common Pheasant <i>Phasianus colchicus</i> in Poland	ANIMALS												Simple Summary The presence of intestinal parasites such as nematodes, cestodes, and trematodes is a serious problem for programmes for the conservation of partridges and pheasants, mainly involving the breeding of these birds and their release into the natural environment. These parasites can cause disease in these birds, whether farmed or free-living. The aim of this study was to describe the morphology of parasitic worms in the partridge, native to Poland, and the introduced pheasant, and to determine the level of infection of these birds with intestinal parasitic worms. The study showed that partridges are infected with several helminth species that had not previously been recorded in this species in Poland. Pheasants are more often infected by intestinal nematodes than are partridges. These worms can negatively affect the condition of partridges and increase their risk of infection with pathogenic protozoa. The results of parasitological examination should be used to develop programmes for diagnosis and monitoring of parasitic infections in order to keep flocks free of parasites. The aim of this study was to describe the morphology and means of identification of helminths in native partridges (65) and introduced pheasants (32) in Poland and to determine the level of intestinal infection of these birds by helminths using parasitological and ecological indices. The birds were acquired during the hunting season in the years 2015-2017. Nematodes, Capillaria phasianina, cestodes, Railietina friedbergeri, and one trematode, Brachylaima sp. were recorded for the first time in partridges in Poland. Our findings indicate that parasites are more prevalent in pheasants (prevalence 70.4%) than in partridges (prevalence 50.0%). The component community and infracommunity of parasites of partridges are more diverse (Simpson's diversity index: 0.63 and mean Brillouin diversity index: 0.10 +/- 0.17) and less dominated by a single parasite species (Capillaria sp., Berger-Parker dominance index: 0.53) than the pheasant parasite community (Simpson's diversity index: 0.07, mean Brillouin diversity index: 0.005 +/- 0.02, dominant species Heterakis gallinarum, Berger-Parker dominance index: 0.96). There were statistically significant differences between partridges and pheasants in the Brillouin diversity index and in the prevalence of Heterakis gallinarum (55.6% in pheasants vs. 19.0 in partridges). There were significant differences between wild and farmed partridges in the prevalence of infection by Capillaria sp. (4.3% vs. 37.5%) and H. gallinarum (39.1 vs. 6.2%). In conclusion, the pheasant was shown to be a reservoir, carrier, and shedder of nematodes, which may increase the risk of infection in partridges.					Kaczmarek, Adam/ABC-5219-2020; Salamatin, Ruslan V/E-6077-2011; Kaczmarek, Adam Mieczysław/JHU-3657-2023; Dzika, Ewa/N-4146-2018	Kaczmarek, Adam/0000-0001-7698-0154; Salamatin, Ruslan V/0000-0002-5982-8406; Kaczmarek, Adam Mieczysław/0000-0001-7698-0154; Kowal, Jerzy/0000-0001-9821-6712; Dzika, Ewa/0000-0002-4319-5026													2076-2615					DEC	2021	11	12							3396	10.3390/ani11123396	http://dx.doi.org/10.3390/ani11123396								34944174					WOS:000735271100001
C	Ambrose, WG; Renaud, PE; Cochrane, SKJ; Denisenko, SG; Skardhamar, J		Maciolek, NJ; Blake, JA		Ambrose, William G., Jr.; Renaud, Paul E.; Cochrane, Sabine K. J.; Denisenko, Stanislav G.; Skardhamar, Jofrid			Polychaete diversity patterns on two Arctic shelves: impacts of ice and primary production?	PROCEEDINGS OF THE 9TH INTERNATIONAL POLYCHAETE CONFERENCE	Zoosymposia				9th International Polychaete Conference	AUG 12-17, 2007	Portland, ME					We used data sets from two Arctic shelves to examine relationships between primary production (or a proxy), ice cover, and the diversity of polychaetes. Benthic samples were collected from the Northeast Water Polynya on the Northeast Greenland shelf and from the Barents Sea. Each of these areas is characterized by large differences in seasonal ice cover and primary production on a mesoscale. In addition to enumerating polychaete diversity, we also quantified the concentration of benthic algal pigments, sediment percent organic carbon, ice cover for the four years preceding sampling, and sediment grain size. In the Barents Sea, primary production was estimated from an ecosystem model. In both northeast Greenland and the Barents Sea, locations with lower primary production (Barents Sea) or proxies for primary production (benthic algal pigments: Greenland and Barents Sea), exhibited the greatest taxonomic richness. In Greenland, the area with the lowest concentration of benthic pigments had an ES(201) up to 30% higher than values from areas with four times more pigments. In the Barents Sea, ES(201) was greatest in the North under heaviest ice cover (>25% cover per year), again approximately 30% higher than in the South (<15% cover) or under the Polar Front (15-25% cover). Other factors also explained diversity: multiple regressions and Principal Component Analysis indicated that grain size, water depth and concentration of sediment organic carbon were important predictors of species diversity (Shannon-Wiener Index and Simpson's Reciprocal Index), but the results of these analyses were occasionally different from the patterns observed in the species accumulation curves or ES(201) values. Simpson's Index indicated that high ice-cover (and low primary production and benthic pigment) areas in the Barents Sea had greater evenness (lower dominance) than regions with higher indicators of food supply to the benthos. Low resource levels may prevent a few species from becoming very abundant and out-competing rare species. Diversity indices from northeast Greenland did not vary significantly among regions. We did not address habitat heterogeneity, but patchy distribution of food, combined with small-scale sediment heterogeneity also could enhance richness in food-poor areas. While the mechanism for the relationship between polychaete species richness and ice concentration or primary production is not clear, it does suggest that a change in polychaete diversity may need to be added to the list of possible responses of the benthos to climate-driven changes in ice cover.					Denisenko, Stanislav G/S-1282-2017; Renaud, Paul E/C-7191-2008														1178-9913		978-1-86977-374-8; 978-1-86977-373-1				2009	2						457	485																WOS:000277952400033
J	Yang, J; Li, EH; Zhou, R; Xia, Y; Yang, C; Zhang, YY				Yang, Jiao; Li, Enhua; Zhou, Rui; Xia, Ying; Yang, Chao; Zhang, Yingying			The Effects of Edaphic Factors on Riparian Plants in the Middle and Lower Reaches of the Hanjiang River, China	PLANTS-BASEL												It is important to understand the interactions between soil and plant in riparian zones to ensure ecosystem function. The effects of edaphic factors on plant composition and species diversity were investigated in the middle and lower reaches of the Hanjiang River (MLHR), China. A total of 154 species of herbs were recorded, and vegetation was divided into 32 clusters according to a two-way indicator species analysis (TWINSPAN). Cynodon dactylon and Paspalum distichum were the most common clusters, accounting for 22.7% and 12.5% of total samples, respectively. Hydric and mesic species were dominant in the first and second transects, with mesophytes dominating the third and fourth transects. First transects situated were mainly composed of perennials and annuals, respectively. Perennials in second transects were present in 83% of sites, and perennials in the third and fourth transects were present in 86% of the sites. Margalef richness index (Dma), Simpson dominance diversity index (D), Shannon-Wiener diversity index (H) and Pielou evenness index (Jsw) were higher in the first transects in some sites. The redundancy analysis (RDA) results indicated that soil moisture content was the dominant factor affecting hydrophilic vegetation types, and total nitrogen (TN) and soil organic matter (SOM) were the most critical factors affecting plant life history types and species diversities in this area.						, yingying/0000-0002-6081-0537														2223-7747				FEB	2022	11	4							531	10.3390/plants11040531	http://dx.doi.org/10.3390/plants11040531								35214864					WOS:000765132000001
J	Talen, E				Talen, E			Land use zoning and human diversity: Exploring the connection	JOURNAL OF URBAN PLANNING AND DEVELOPMENT												City planners are rallying against social and economic segregation by enacting regulatory changes, particularly zoning reform. Land use zoning. many argue, is one of the most potent tools planners have to enact change inhuman settlement patterns, and the goal of that change is often to foster greater levels of socioeconomic and land use diversity. This paper presents a method for connecting land use zoning and spatial patterns of diversity explicitly. It addresses the question of whether, and in what ways. zoning and human diversity are interrelated. Two fundamental questions arise in attempting to use zoning to foster greater diversity: What is the current relationship between human diversity and zoning, and second, how can zoning, given local experience, be changed to effectuate more diversity. To answer these questions, patterns of zoning by parcel and patterns of socioeconomic diversity were evaluated fur the twin cities of Champaign and Urbana, Ill. A form of the Simpson Diversity Index was used to measure socioeconomic and zoning diversity by census block group. The results showed an association between diverse residential zoning and income diversity. but other treasures of social diversity were not strongly correlated.																			0733-9488	1943-5444				DEC	2005	131	4					214	232		10.1061/(ASCE)0733-9488(2005)131:4(214)	http://dx.doi.org/10.1061/(ASCE)0733-9488(2005)131:4(214)													WOS:000233475800003
J	Adhikari, P; Joshi, LP; Ayer, DK; Tiwari, KR				Adhikari, Prabha; Joshi, Laxmi Prasad; Ayer, Dipendra Kumar; Tiwari, Khusi Ram			Agromorphological Diversity and Disease Assessment of Grain Amaranth in Lamjung, Nepal	ADVANCES IN AGRICULTURE												Amaranth is a nutritious traditional food and vegetable crop with incomparable health benefits. However, very little research has been carried out to study diversity of amaranth in Nepal. An experiment was conducted in the research field of the Institute of Agriculture and Animal Science (IAAS) at Sundarbazar, Lamjung, Nepal, during 2021 growing season to assess twelve amaranth accessions based on agromorphological characters. Seed materials were collected from the Nepal Agriculture Genetic Resource Center (NAGRC), Khumaltar, and the experiment was conducted in alpha-lattice design with 3 replications. Early maturing accessions had inflorescence at 42.33 days while late maturing accessions were after 82 days. ANOVA test for quantitative traits revealed significant differences among the accessions for all traits studied except stem girth. Similarly, from frequency distribution of agromorphological characters, high variability was found in stem pigmentation, terminal inflorescence shape, inflorescence color, and seed color. Diversity indices (Shannon-Weaver diversity index and Simpson's index of diversity) were also estimated in which inflorescence color, terminal inflorescence shape, seed color, stem pigmentation, leaf shape, branching index, and leaf pigmentation exhibited high variation confirming the presence of tremendous diversity in Amaranthus. Accessions NGRCO 6977, NGRCO 6969, and NGRCO 6871 had low disease incidence showing the potential of developing resistant varieties through precised breeding in the future. High yield attributing traits were possessed by accessions NGRCO 6977, CO 2435, NGRCO 6904, and CO 1239. Accession NGRCO 6977 was found superior among twelve accessions with highest grain yield and least disease occurrence which can further be evaluated in successive years as a promising variety in mid-hill region.					Ayer, Dipendra Kumar/O-5159-2017	Ayer, Dipendra Kumar/0000-0002-6631-637X; Adhikari, Prabha/0000-0001-5175-6156													2356-654X	2314-7539				NOV 30	2022	2022								8969390	10.1155/2022/8969390	http://dx.doi.org/10.1155/2022/8969390													WOS:000895990400001
J	Sarkar, B; Sarkar, A; Sharma, RC; Verma, RPS; Sharma, I				Sarkar, B.; Sarkar, A.; Sharma, R. C.; Verma, R. P. S.; Sharma, I.			Genetic diversity in barley (<i>Hordeum vulgare</i>) for traits associated with feed and forage purposes	INDIAN JOURNAL OF AGRICULTURAL SCIENCES												Barley (Hordeum vulgare L.) is an important coarse cereal cultivated in many parts of the world since ancient times and mostly used as cattle & poultry feed. However, in India due to climate change and frequent drought especially in drier areas barley offers a better alternative to extreme climate such as drought and winter. In the present study 220 cultivated barley accessions of indigenous and exotic origin were evaluated for different agro-morphological traits. The material was evaluated during the 2011-12 growing season at DWR, Karnal where observations were recorded on 13 agro-morphological traits. The results showed high variability among the accessions for grain per spike, green fodder yield, grain yield, grain yield of regenerated crop, biological yield and harvest index (HI). Based on K-mean clustering pattern, the genotypes were grouped into five clusters having significant inter-cluster distances. Shannon-Weaver's diversity index (H) and Simpson's index (1/D) was used to assess the phenotypic diversity of traits for each cluster genotypes and overall. Shannon's diversity index revealed large diversity for most traits. The average H for the whole population was 0.91 with the lowest 0.74 for HI, the highest (1.01) for days to heading. The simple correlation coefficients among traits were estimated, which showed significant positive relations between grain yield with plant height (r=0.25**), green fodder yield (r=0.15*), grain yield of regenerated crop (r=0.13*) and HI (0.19**), while negative correlation with days to heading (r=-0.35**). Sources for individual traits in different genotypes of barley clusters were identified which can be used as donors in hybridization programme for dual purpose barley improvement programme.					Sharma, Ram/AAY-5929-2021	Sarkar, Ananta/0000-0003-3468-8969													0019-5022	2394-3319				MAY	2014	84	5					650	655																WOS:000335937500018
J	Forge, TA; Simard, SW				Forge, TA; Simard, SW			Structure of nematode communities in forest soils of southern British Columbia: relationships to nitrogen mineralization and effects of clearcut harvesting and fertilization	BIOLOGY AND FERTILITY OF SOILS												The effects of clearcut harvesting and fertilization of clearcuts on the structure of nematode communities were assessed at three sites in the southern interior of British Columbia. The Shannon-Weaver and Simpson indices of diversity were greater in clearcuts than in forests. The diversity of the bacterivorous and fungivorous trophic groups were not significantly different between clearcuts and forests, whereas the diversity of omnivorous and predacious nematodes was lower in clearcuts than in forests. The nematode maturity index (MI) was lower in clearcuts than in forests. Several ratios describing the prevalence of enrichment opportunists (the absolute abundance of Rhabditida, the relative abundance of Rhabditida, and the ratio of Aphelenchida/fungivorous nematodes) were greater in clearcuts than in forests. Nematode diversity tended to be lower in fertilizer treatments than in controls within clearcuts, but the effects were not consistent across sample dates. The MI was lower in fertilizer treatments than in controls. All ratios representing the relative abundance of enrichment opportunists were greater in fertilizer treatments than in controls. The MI was negatively correlated with N mineralization in data sets representing forests and fertilized and non-fertilized plots within clearcuts. None of the diversity indices were correlated with N mineralization. The absolute abundance of Rhabditida and the relative abundance of Rhabditida were both consistently positively correlated with N mineralization in the data set representing fertilized and non-fertilized plots within clearcuts, and the absolute abundance of Rhabditida was positively correlated with N mineralization in forests.																			0178-2762	1432-0789				SEP	2001	34	3					170	178																WOS:000171266400007
J	Watrud, LS; Martin, K; Donegan, KK; Stone, JK; Coleman, CG				Watrud, Lidia S.; Martin, Kendall; Donegan, Kelly K.; Stone, Jeffrey K.; Coleman, Clarace G.			Comparison of taxonomic, colony morphotype and PCR-RELP methods to characterize microfungal diversity	MYCOLOGIA												We compared three methods for estimating fungal species diversity in soil samples. A rapid screening method based on gross colony morphological features and color reference standards was compared with traditional fungal taxonomic methods and PCR-RFLP for estimation of ecological indices of soil microfungal community composition. Normalized counts of colony morphotypes on dichloran rose bengal medium were used to estimate species richness (S) and evenness (J) and to calculate Shannon's diversity (H) and Simpson's (SI) dominance indices. Isolates were obtained by dilution plating techniques from litter and soil layer samples taken from Douglas-fir forest and clear-cut areas at two locations in the Cascade Mountains. The highest correspondence (97%) was observed between taxonomic identification and RFLP patterns (32:33). Cladistic analyses of PCR-RFLP patterns indicated an 81% correspondence between RFLP patterns:colony morphotypes (33:41). A correspondence of 78% was observed between traditional taxonomic identification:colony morphotypes (32:41). Statistical analyses of ecological indices based on quantitative'application of the colony morphotyping method indicated significant differences (P < 0.05) in fungal community composition between forested and clear-cut areas at the Toad Road site but not at the Falls Creek site. Comparisons of ecological indices based on traditional identification of taxa by microscopic characterization on defined culture media resulted in identical findings of statistical significance. The colony morphotyping approach is proposed as a screening method to identify potential effects of land management practices, edaphic factors and pollutants on microfungal diversity.						Martin, Kendall/0000-0003-4833-4301													0027-5514	1557-2536				MAY-JUN	2006	98	3					384	392		10.3852/mycologia.98.3.384	http://dx.doi.org/10.3852/mycologia.98.3.384								17040067					WOS:000240915700003
J	Semy, K; Singh, MR				Semy, Khikeya; Singh, Maibam Romeo			Changes in plant diversity and community attributes of coal mine affected forest in relation to a community reserve forest of Nagaland, Northeast India	TROPICAL ECOLOGY												This study assessed changes in herb, shrub and tree composition of Coal mining-affected forest (CMAF) area in relation to a community reserve forest designated as Non-affected forest (NAF) of Changki village, Nagaland, Northeast India. In all the three plant life forms, Shannon-Wiener index, Simpson's diversity index and Margalef richness index showed higher species diversity and richness in NAF compared to CMAF while Sorenson's index reveals a low species similarity between the sites. Pielou's evenness was higher at NAF and a contiguous pattern was prominently distributed in both the forest. The family Poaceae, Asteraceae and Cyperaceae dominated the CMAF while Euphorbiaceae, Rubiaceae and Poaceae dominated NAF. The NAF has greater plant density compared to CMAF and the IVI shows the dominant status of native tree Terminalia myriocarpa in the Northeastern tropical forest. Weeds like Ageratum conyzoides, Bidens pilosa and Drymaria cordata were prominently distributed in CMAF while Abarema clypearia, Inula cappa and Strobilanthes coloratus has been obstructed by mining. The result imparted that the plant diversity of Nagaland tropical forests are under threat due to coal mining which has reduced the vegetation diversity and induce the loss of dominant plant species. As such, regulation of mine waste, land reclamation projects, robust forest management and bioremediation can be scientifically integrated to reduce the mining repercussion effects. Moreover, the result emphasizes the need to impart the tribal knowledge of preserving natural forest to the upcoming generations and develop conservation strategies to prevent further degradation or loss of biodiversity in this part of the Indo-Burma hotspot region.																			0564-3295	2661-8982				2023 MAY 26	2023										10.1007/s42965-023-00310-z	http://dx.doi.org/10.1007/s42965-023-00310-z		MAY 2023											WOS:000995134200001
J	Ruehle, BP; Herrmann, KK; Higgins, CL				Ruehle, Brandon P.; Herrmann, Kristin K.; Higgins, Christopher L.			Helminth parasite assemblages in two cyprinids with different life history strategies	AQUATIC ECOLOGY												Parasitic organisms can affect ecosystems by driving population dynamics of the hosts and influencing community interactions. The life history of the host can determine the relationship with its parasites. Reproductive effort and age of the host are two life history aspects often used to explain parasitic infection. In this study, we examined helminth parasite assemblages in two cyprinids with contrasting reproductive strategies, Cyprinella venusta (crevice spawners) and Notropis volucellus (broadcast spawners), in the Paluxy River (Texas) from May 2014 through October 2015. Host reproduction was measured using the gonadosomatic index, and standard length was used as an estimate of age. Parasite infection was measured using total number of helminths, parasite richness, Shannon's diversity, and Simpson's diversity. Our results revealed significant differences in parasite number and diversity between the two species, but not between males and females within species. Additionally, our results showed that standard length was a better predictor of parasitic infection than the gonadosomatic index. The relationship between host size and parasitic infection was expected; however, the lack of a relationship between gonadosomatic indices and parasitic infection was surprising. In conclusion, standard length was a better predictor of parasitic infection than the gonadosomatic index, and as such multiple species and life history traits should be considered when investigating host-parasite relationships.						Ruehle, Brandon/0000-0002-9898-3169													1386-2588	1573-5125				JUN	2017	51	2					247	256		10.1007/s10452-017-9614-7	http://dx.doi.org/10.1007/s10452-017-9614-7													WOS:000400989500005
J	Zhang, XB; Wang, XJ; Tang, QL; Li, N; Liu, PL; Dong, YF; Pang, WM; Yang, JT; Wang, ZX				Zhang, Xiaobing; Wang, Xujing; Tang, Qiaoling; Li, Ning; Liu, Peilei; Dong, Yufeng; Pang, Weimin; Yang, Jiangtao; Wang, Zhixing			Effects of cultivation of OsrHSA transgenic rice on functional diversity of microbial communities in the soil rhizosphere	CROP JOURNAL												With the widespread cultivation of transgenic crops, there is increasing concern about unintended effects of these crops on soil environmental quality. In this study, we used the Biolog method and ELISA to evaluate the possible effects of OsrHSA transgenic rice on soil microbial utilization of carbon substrates under field conditions. There were no significant differences in average well-color development (AWCD) values, Shannon-Wiener diversity index (H), Simpson dominance indices (D) and Shannon-Wiener evenness indices (E) of microbial communities in rhizosphere soils at eight samplings between OsrHSA transgenic rice and its non-transgenic counterpart. The main carbon sources utilized by soil microbes were carbohydrates, carboxylic acids, amino acids and polymers. The types, capacities and patterns of carbon source utilization by microbial communities in rhizosphere soils were similar throughout the detection period. We detected no OsrHSA protein in the roots of OsrHSA transgenic rice. We concluded that OsrHSA transgenic rice and the rHSA protein it produced did not alter the functional diversity of microbial communities in the rhizosphere. (C) 2015 Production and hosting by Elsevier B.V. on behalf of Crop Science Society of China and Institute of Crop Science, CAAS.																			2095-5421	2214-5141				APR	2015	3	2					163	167		10.1016/j.cj.2014.11.001	http://dx.doi.org/10.1016/j.cj.2014.11.001													WOS:000362671800010
J	Vanpeteghem, D; Haegeman, B				Vanpeteghem, Dimitri; Haegeman, Bart			An analytical approach to spatio-temporal dynamics of neutral community models	JOURNAL OF MATHEMATICAL BIOLOGY												We propose a spatial version of the neutral community model on a network of interconnected patches. The dynamical equations for the abundances and higher order moments of the abundances are established. Due to the neutrality assumption these equations are autonomous, enabling an exact analysis of spatio-temporal dynamics. We compute local (i.e., inside a patch) and global (i.e., between patches) diversities, and illustrate our results with two examples: (1) a non-spatial community, for which we recover previous results, and (2) a model with a finite number of patches which are all connected to each other with equal migration intensity. We discuss the relevance of this model for experiments in microbial ecology.						Haegeman, Bart/0000-0003-2325-4727													0303-6812	1432-1416				SEP	2010	61	3					323	357		10.1007/s00285-009-0303-6	http://dx.doi.org/10.1007/s00285-009-0303-6								19885659					WOS:000279085400001
J	Tamartash, R; Ehsani, SM				Tamartash, Reza; Ehsani, Seyedeh Mohadeseh			The effect of earthworms on plant diversity and soil properties under different landuses	ACTA ECOLOGICA SINICA												Earthworms have significant effect on vegetation and soil physical and chemical properties. The relationship between earthworms and biodiversity is important in ecological researches. Therefore, the effects of earthworm on plant diversity and various indices of diversity and richness, as well as physical and chemical properties of soil in shrub, grass and bare vegetation types on exclosure and grazing sites of Miankaleh Mazandaran biosphere reserve is investigated in this work. Accordingly, sampling was carried out randomly-systematically in three different vegetative types (shrubs, grass and bare soil) at 0 to 20 cm depth. Each vegetative types was placed on three transects of 100 m, 10 plots at a distance of 30 m. Earthworm and soil were sampled from the center of each plot of 25 cm x 25 cm. The Simpson and ShannonWiener indexes and Margalef and Menhinick richness indices were used to evaluate diversity and richness of species at different grazing intensities. Stepwise regression was used to study the relationship between diversity and richness indices with different earthworm parameters. The results showed that there was significant difference of potassium and nitrogen in vegetation types of both exclosure and grazing sites at P <= .01. Furthermore, the organic carbon, organic matter and potassium in the exclosure site and nitrogen and soil moisture in the grazing site are increased by earthworm abundance. (c) 2020 Ecological Society of China. Published by Elsevier B.V. All rights reserved.																			1872-2032					JUN	2021	41	3					171	176		10.1016/j.chnaes.2020.06.008	http://dx.doi.org/10.1016/j.chnaes.2020.06.008													WOS:001103100800001
J	Lee, BA; Martin, MJR; Matthews, SA; Farrell, CR				Lee, Barrett A.; Martin, Michael J. R.; Matthews, Stephen A.; Farrell, Chad R.			State-level changes in US racial and ethnic diversity, 1980 to 2015: A universal trend?	DEMOGRAPHIC RESEARCH												BACKGROUND Few studies have examined long-term changes in ethnoracial diversity for US states despite the potential social, economic, and political ramifications of such changes at the state level. OBJECTIVE We describe shifts in diversity magnitude and structure from 1980 through 2015 to determine if states are following a universal upward path. METHODS Decennial census data for 1980. 2010 and American Community Survey data for 2015 are used to compute entropy index (E) and Simpson index (S) measures of diversity magnitude based on five panethnic populations. A typology characterizes the racial/ethnic structure of states. RESULTS While initial diversity level and subsequent pace of change vary widely, every state has increased in diversity magnitude since 1980. A dramatic decline in the number of predominantly white states has been accompanied by the rise of states with multigroup structures that include Hispanics. These diverse states are concentrated along the coasts and across the southern tier of the country. Differences in panethnic population growth (especially rapid Hispanic and Asian growth coupled with white stability) drive the diversification trend. CONCLUSIONS The diversity hierarchy among states has remained relatively stable over the past 35 years in the face of universal gains in diversity magnitude and the increasing heterogeneity of racial/ethnic structures. CONTRIBUTION We document ethnoracial diversity patterns at an understudied geographic scale, the state level, where diversity may have important consequences across a range of institutional domains.					Matthews, Stephen/AAO-6173-2020; Matthews, Stephen/GPS-9884-2022	Matthews, Stephen/0000-0002-1645-4854; Matthews, Stephen/0000-0002-1645-4854													1435-9871					OCT 12	2017	37						1031	1048											29551951					WOS:000412732000001
J	Mirzaei, M; Bonyad, AE; Emamgheysi, IM; Navroodi, IH				Mirzaei, Mehrdad; Bonyad, Amir Eslam; Emamgheysi, Ismaeil Moradi; Navroodi, Iraj Hassanzad			Effects of inventory grids on estimation of tree species diversity in semi-arid forests of Iran	FOLIA OECOLOGICA												Species diversity is one of the most important indices used to evaluate the sustainability of forest communities. The sampling method and the number of plots are factors affecting the estimation of plant biodiversity. In the present study, effects of different inventory grids on estimation of tree species diversity were compared in semi-arid forests of Iran. There were selected 50 hectares of these forests representing the regional forests. Sampling procedures were carried out on circular plots (1,000m(2)) within inventory grids, with dimensions of 50 x 50 m (200 plots), 100 x 50 m (100 plots), 100 x 100 m (50 plots), 200 x 50 m (50 plots), 200 x 100 m (25 plots), and 250 x 200 m (10 plots). For each plot, the type of the species and the number of trees were recorded. Simpson (1-D), Hill (N-2), Shannon-Wiener (H'), Mc Arthur (N-1), Smith-Wilson (E-var) and Margalef (R-1) indices were used to estimate the tree species diversity. The inventory grid was evaluated based on the precision and cost criteria (E%(2) x T). The obtained sampling error values showed that the inventory grid consisting of 200 plots exhibited more accuracy for estimating the biodiversity indices. But based on the results of E%(2) x T, the inventory grid with 25 plots was selected as the most appropriate one for estimating the tree species diversity in semi-arid forests. The results of this study can also serve to estimate the tree species diversity in other semi-arid forests of Iran.																			1336-5266	1338-7014				MAY	2019	46	1					24	29		10.2478/foecol-2019-0004	http://dx.doi.org/10.2478/foecol-2019-0004													WOS:000663795000004
